AgentID,Alpha,k,Sigma,Theta
0,0.830091202935217,4.711104736328125,1.7,0.6
1,1.0078908238544284,4.711104736328125,1.7,0.6
2,0.830091202935217,5.433038330078125,1.7,0.6
3,0.830091202935217,4.711104736328125,1.4,0.6
4,0.830091202935217,4.711104736328125,1.7,0.8
5,0.830091202935217,5.433038330078125,1.4,0.8
6,1.0078908238544284,4.711104736328125,1.4,0.8
7,1.0078908238544284,5.433038330078125,1.7,0.8
8,1.0078908238544284,5.433038330078125,1.4,0.6
9,1.0078908238544284,5.433038330078125,1.4,0.8
10,1.0800679286566308,9.706104736328125,0.7,0.1
11,1.1115180927210457,9.706104736328125,0.7,0.1
12,1.0800679286566308,0.43803833007812504,0.7,0.1
13,1.0800679286566308,9.706104736328125,0.4,0.1
14,1.0800679286566308,9.706104736328125,0.7,0.3
15,1.0800679286566308,0.43803833007812504,0.4,0.3
16,1.1115180927210457,9.706104736328125,0.4,0.3
17,1.1115180927210457,0.43803833007812504,0.7,0.3
18,1.1115180927210457,0.43803833007812504,0.4,0.1
19,1.1115180927210457,0.43803833007812504,0.4,0.3
20,1.1299975535083508,2.213604736328125,1.2,0.9
21,1.1815036218111037,2.213604736328125,1.2,0.9
22,1.1299975535083508,2.935538330078125,1.2,0.9
23,1.1299975535083508,2.213604736328125,1.9,0.9
24,1.1299975535083508,2.213604736328125,1.2,0.1
25,1.1299975535083508,2.935538330078125,1.9,0.1
26,1.1815036218111037,2.213604736328125,1.9,0.1
27,1.1815036218111037,2.935538330078125,1.2,0.1
28,1.1815036218111037,2.935538330078125,1.9,0.9
29,1.1815036218111037,2.935538330078125,1.9,0.1
30,1.030173004192629,7.208604736328125,0.2,0.4
31,1.0640963274466684,7.208604736328125,0.2,0.4
32,1.030173004192629,7.930538330078125,0.2,0.4
33,1.030173004192629,7.208604736328125,0.9,0.4
34,1.030173004192629,7.208604736328125,0.2,0.6
35,1.030173004192629,7.930538330078125,0.9,0.6
36,1.0640963274466684,7.208604736328125,0.9,0.6
37,1.0640963274466684,7.930538330078125,0.2,0.6
38,1.0640963274466684,7.930538330078125,0.9,0.4
39,1.0640963274466684,7.930538330078125,0.9,0.6
40,1.0564921421951692,0.964854736328125,0.9,0.5
41,1.0390315847481597,0.964854736328125,0.9,0.5
42,1.0564921421951692,6.681788330078125,0.9,0.5
43,1.0564921421951692,0.964854736328125,1.7,0.5
44,1.0564921421951692,0.964854736328125,0.9,0.2
45,1.0564921421951692,6.681788330078125,1.7,0.2
46,1.0390315847481597,0.964854736328125,1.7,0.2
47,1.0390315847481597,6.681788330078125,0.9,0.2
48,1.0390315847481597,6.681788330078125,1.7,0.5
49,1.0390315847481597,6.681788330078125,1.7,0.2
50,1.1652576342085699,5.959854736328125,1.9,1.0
51,1.1396538612535208,5.959854736328125,1.9,1.0
52,1.1652576342085699,1.686788330078125,1.9,1.0
53,1.1652576342085699,5.959854736328125,0.7,1.0
54,1.1652576342085699,5.959854736328125,1.9,0.7
55,1.1652576342085699,1.686788330078125,0.7,0.7
56,1.1396538612535208,5.959854736328125,0.7,0.7
57,1.1396538612535208,1.686788330078125,1.9,0.7
58,1.1396538612535208,1.686788330078125,0.7,1.0
59,1.1396538612535208,1.686788330078125,0.7,0.7
60,1.103650790054076,3.462354736328125,0.4,0.3
61,1.0874166204690268,3.462354736328125,0.4,0.3
62,1.103650790054076,4.184288330078125,0.4,0.3
63,1.103650790054076,3.462354736328125,1.2,0.3
64,1.103650790054076,3.462354736328125,0.4,1.0
65,1.103650790054076,4.184288330078125,1.2,1.0
66,1.0874166204690268,3.462354736328125,1.2,1.0
67,1.0874166204690268,4.184288330078125,0.4,1.0
68,1.0874166204690268,4.184288330078125,1.2,0.3
69,1.0874166204690268,4.184288330078125,1.2,1.0
70,0.9950056565057332,8.457354736328124,1.4,0.7
71,0.9503778892513698,8.457354736328124,1.4,0.7
72,0.9950056565057332,9.179288330078125,1.4,0.7
73,0.9950056565057332,8.457354736328124,0.2,0.7
74,0.9950056565057332,8.457354736328124,1.4,0.5
75,0.9950056565057332,9.179288330078125,0.2,0.5
76,0.9503778892513698,8.457354736328124,0.2,0.5
77,0.9503778892513698,9.179288330078125,1.4,0.5
78,0.9503778892513698,9.179288330078125,0.2,0.7
79,0.9503778892513698,9.179288330078125,0.2,0.5
80,1.0144517764847372,1.5892297363281251,0.3,0.9
81,1.1247714457265652,1.5892297363281251,0.3,0.9
82,1.0144517764847372,8.554913330078126,0.3,0.9
83,1.0144517764847372,1.5892297363281251,1.5,0.9
84,1.0144517764847372,1.5892297363281251,0.3,0.2
85,1.0144517764847372,8.554913330078126,1.5,0.2
86,1.1247714457265652,1.5892297363281251,1.5,0.2
87,1.1247714457265652,8.554913330078126,0.3,0.2
88,1.1247714457265652,8.554913330078126,1.5,0.9
89,1.1247714457265652,8.554913330078126,1.5,0.2
90,1.116246021108166,6.584229736328125,1.3,0.4
91,1.0246938517863986,6.584229736328125,1.3,0.4
92,1.116246021108166,3.5599133300781247,1.3,0.4
93,1.116246021108166,6.584229736328125,0.5,0.4
94,1.116246021108166,6.584229736328125,1.3,0.7
95,1.116246021108166,3.5599133300781247,0.5,0.7
96,1.0246938517863986,6.584229736328125,0.5,0.7
97,1.0246938517863986,3.5599133300781247,1.3,0.7
98,1.0246938517863986,3.5599133300781247,0.5,0.4
99,1.0246938517863986,3.5599133300781247,0.5,0.7
100,1.1937457762368215,4.086729736328125,0.8,0.7
101,1.0758088270975283,4.086729736328125,0.8,0.7
102,1.1937457762368215,1.062413330078125,0.8,0.7
103,1.1937457762368215,4.086729736328125,1.0,0.7
104,1.1937457762368215,4.086729736328125,0.8,0.9
105,1.1937457762368215,1.062413330078125,1.0,0.9
106,1.0758088270975283,4.086729736328125,1.0,0.9
107,1.0758088270975283,1.062413330078125,0.8,0.9
108,1.0758088270975283,1.062413330078125,1.0,0.7
109,1.0758088270975283,1.062413330078125,1.0,0.9
110,1.0684277786935548,9.081729736328125,1.8,0.2
111,1.2282297726275628,9.081729736328125,1.8,0.2
112,1.0684277786935548,6.057413330078125,1.8,0.2
113,1.0684277786935548,9.081729736328125,0.1,0.2
114,1.0684277786935548,9.081729736328125,1.8,0.4
115,1.0684277786935548,6.057413330078125,0.1,0.4
116,1.2282297726275628,9.081729736328125,0.1,0.4
117,1.2282297726275628,6.057413330078125,1.8,0.4
118,1.2282297726275628,6.057413330078125,0.1,0.2
119,1.2282297726275628,6.057413330078125,0.1,0.4
120,1.043907073560718,2.837979736328125,1.1,0.1
121,1.157467341145807,2.837979736328125,1.1,0.1
122,1.043907073560718,9.803663330078125,1.1,0.1
123,1.043907073560718,2.837979736328125,1.3,0.1
124,1.043907073560718,2.837979736328125,1.1,0.8
125,1.043907073560718,9.803663330078125,1.3,0.8
126,1.157467341145807,2.837979736328125,1.3,0.8
127,1.157467341145807,9.803663330078125,1.1,0.8
128,1.157467341145807,9.803663330078125,1.3,0.1
129,1.157467341145807,9.803663330078125,1.3,0.8
130,1.1457495887465168,7.832979736328125,0.1,0.6
131,1.0519685605560045,7.832979736328125,0.1,0.6
132,1.1457495887465168,4.808663330078125,0.1,0.6
133,1.1457495887465168,7.832979736328125,0.3,0.6
134,1.1457495887465168,7.832979736328125,0.1,0.3
135,1.1457495887465168,4.808663330078125,0.3,0.3
136,1.0519685605560045,7.832979736328125,0.3,0.3
137,1.0519685605560045,4.808663330078125,0.1,0.3
138,1.0519685605560045,4.808663330078125,0.3,0.6
139,1.0519685605560045,4.808663330078125,0.3,0.3
140,1.0917097700708116,0.340479736328125,1.5,0.3
141,0.9861754663547039,0.340479736328125,1.5,0.3
142,1.0917097700708116,2.311163330078125,1.5,0.3
143,1.0917097700708116,0.340479736328125,1.8,0.3
144,1.0917097700708116,0.340479736328125,1.5,0.0
145,1.0917097700708116,2.311163330078125,1.8,0.0
146,0.9861754663547039,0.340479736328125,1.8,0.0
147,0.9861754663547039,2.311163330078125,1.5,0.0
148,0.9861754663547039,2.311163330078125,1.8,0.3
149,0.9861754663547039,2.311163330078125,1.8,0.0
150,0.9666949290568019,5.335479736328125,0.6,0.8
151,1.0992110063055813,5.335479736328125,0.6,0.8
152,0.9666949290568019,7.306163330078125,0.6,0.8
153,0.9666949290568019,5.335479736328125,0.8,0.8
154,0.9666949290568019,5.335479736328125,0.6,0.5
155,0.9666949290568019,7.306163330078125,0.8,0.5
156,1.0992110063055813,5.335479736328125,0.8,0.5
157,1.0992110063055813,7.306163330078125,0.6,0.5
158,1.0992110063055813,7.306163330078125,0.8,0.8
159,1.0992110063055813,7.306163330078125,0.8,0.5
160,0.9826288696843494,0.028292236328124998,1.4,0.2
161,1.058106067844194,0.028292236328124998,1.4,0.2
162,0.9826288696843494,4.496475830078125,1.4,0.2
163,0.9826288696843494,0.028292236328124998,0.5,0.2
164,0.9826288696843494,0.028292236328124998,1.4,0.1
165,0.9826288696843494,4.496475830078125,0.5,0.1
166,1.058106067844194,0.028292236328124998,0.5,0.1
167,1.058106067844194,4.496475830078125,1.4,0.1
168,1.058106067844194,4.496475830078125,0.5,0.2
169,1.058106067844194,4.496475830078125,0.5,0.1
170,1.0976228307040186,5.023292236328125,0.4,0.7
171,1.1683204362361324,5.023292236328125,0.4,0.7
172,1.0976228307040186,9.491475830078125,0.4,0.7
173,1.0976228307040186,5.023292236328125,1.5,0.7
174,1.0976228307040186,5.023292236328125,0.4,0.6
175,1.0976228307040186,9.491475830078125,1.5,0.6
176,1.1683204362361324,5.023292236328125,1.5,0.6
177,1.1683204362361324,9.491475830078125,0.4,0.6
178,1.1683204362361324,9.491475830078125,1.5,0.7
179,1.1683204362361324,9.491475830078125,1.5,0.6
180,1.1548524855021243,2.5257922363281247,1.9,0.5
181,1.1052770158495486,2.5257922363281247,1.9,0.5
182,1.1548524855021243,6.993975830078125,1.9,0.5
183,1.1548524855021243,2.5257922363281247,1.0,0.5
184,1.1548524855021243,2.5257922363281247,1.9,0.8
185,1.1548524855021243,6.993975830078125,1.0,0.8
186,1.1052770158495486,2.5257922363281247,1.0,0.8
187,1.1052770158495486,6.993975830078125,1.9,0.8
188,1.1052770158495486,6.993975830078125,1.0,0.5
189,1.1052770158495486,6.993975830078125,1.0,0.8
190,1.0503071331091116,7.520792236328125,0.9,1.0
191,0.9979174965435252,7.520792236328125,0.9,1.0
192,1.0503071331091116,1.998975830078125,0.9,1.0
193,1.0503071331091116,7.520792236328125,2.0,1.0
194,1.0503071331091116,7.520792236328125,0.9,0.3
195,1.0503071331091116,1.998975830078125,2.0,0.3
196,0.9979174965435252,7.520792236328125,2.0,0.3
197,0.9979174965435252,1.998975830078125,0.9,0.3
198,0.9979174965435252,1.998975830078125,2.0,1.0
199,0.9979174965435252,1.998975830078125,2.0,0.3
200,1.0742656168059792,3.774542236328125,0.1,0.8
201,0.9039136038388468,3.774542236328125,0.1,0.8
202,1.0742656168059792,3.247725830078125,0.1,0.8
203,1.0742656168059792,3.774542236328125,0.7,0.8
204,1.0742656168059792,3.774542236328125,0.1,0.9
205,1.0742656168059792,3.247725830078125,0.7,0.9
206,0.9039136038388468,3.774542236328125,0.7,0.9
207,0.9039136038388468,3.247725830078125,0.1,0.9
208,0.9039136038388468,3.247725830078125,0.7,0.8
209,0.9039136038388468,3.247725830078125,0.7,0.9
